timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
3006737203436077,2.123657,4.777031,8.190564,0.0015978495,0.23115556,0.08109087,28.2625,-4.8250003,-20.825,walking
3006737222686077,2.171541,4.7961845,8.346188,0.028761292,0.17469822,0.077895164,28.0625,-4.9375,-20.5625,walking
3006737241936077,2.1212628,4.791396,8.550293,0.05379427,0.1422086,0.07523208,28.0,-4.9500003,-20.4375,walking
3006737261186077,1.982399,4.6980224,8.665215,0.07350108,0.12516488,0.033155378,28.0,-4.975,-20.45,walking
3006737280436077,1.9871874,4.695628,8.765771,0.09587097,0.16883944,0.004926703,28.025,-5.0125003,-20.4625,walking
3006737299686077,2.0278888,4.623802,8.689157,0.10492545,0.17789392,-0.025965055,28.0375,-5.05,-20.375,walking
3006737318936077,2.1068976,4.6046486,8.734647,0.098001435,0.20558998,-0.05685681,28.050001,-5.0750003,-20.3125,walking
3006737338186077,2.2002714,4.5040917,8.581417,0.09427312,0.23967743,-0.05419373,28.075,-5.1,-20.25,walking
3006737357436077,2.2720973,4.5136685,8.579023,0.07989248,0.20239428,-0.07603101,28.075,-5.1625,-20.075,walking
3006737376686077,2.2170308,4.6022544,8.519168,0.05379427,0.17256775,-0.07070484,28.1375,-5.2000003,-19.95,walking
3006737395936077,2.1188686,4.563947,8.384495,0.025032977,0.13155627,-0.05898728,28.225,-5.25,-19.8375,walking
3006737415186077,2.018312,4.609437,8.461707,0.0015978495,0.11770825,-0.05579158,28.3125,-5.3125,-19.6875,walking
3006737434436077,1.9416976,4.731541,8.4108305,-0.023435127,0.13848029,-0.03448692,28.375,-5.3250003,-19.5125,walking
3006737453686077,1.8004397,4.7363296,8.406042,-0.0484681,0.14540431,-0.013182258,28.45,-5.3125,-19.3875,walking
3006737472936077,1.6783354,4.803367,8.401254,-0.052729033,0.180557,0.009720251,28.5,-5.3,-19.2625,walking
3006737492186077,1.6687586,4.800973,8.324639,-0.015445879,0.18535055,0.027296597,28.575,-5.3,-19.15,walking
3006737511436077,1.6304513,4.8297033,8.331821,0.026098209,0.10119714,0.0177095,28.6375,-5.2875,-19.112501,walking
3006737530686077,1.6065093,4.851251,8.334216,0.007989247,0.047935486,0.021437814,28.6875,-5.2375,-19.0875,walking
3006737549936077,1.6448165,4.8344917,8.492832,-0.03994624,0.025032977,0.008122402,28.737501,-5.2000003,-19.025,walking
3006737569186077,1.5586253,4.8344917,8.756194,-0.0612509,0.037283156,-0.0046603945,28.7875,-5.1625,-18.9375,walking
3006737588436077,1.5729905,4.7985787,8.67958,-0.052729033,0.06870753,-0.00998656,28.825,-5.1375003,-18.85,walking
3006737607686077,1.5729905,4.7099934,8.504803,-0.030359142,0.09533835,-0.006258244,28.862501,-5.1375003,-18.825,walking
3006737626936077,1.6591818,4.7099934,8.413225,-0.002130466,0.07776201,0.0011983871,28.9,-5.1375003,-18.825,walking
3006737646186077,1.6879122,4.6740804,8.413225,0.0058587817,0.041544087,0.009187635,28.925001,-5.125,-18.8125,walking
3006737665436077,1.6663644,4.681263,8.492832,-5.326165E-4,0.015978495,0.006524552,28.9375,-5.125,-18.737501,walking
3006737684686077,1.6136919,4.76506,8.626907,-0.012782796,0.028761292,-0.0025299285,28.95,-5.125,-18.65,walking
3006737703936077,1.5346833,4.7866077,8.696339,-0.027163442,0.060718283,-0.007323477,28.95,-5.1125,-18.6,walking
3006737723186077,1.4772224,4.741118,8.646061,-0.036217924,0.077229396,-0.006258244,28.95,-5.1,-18.6,walking
3006737742436077,1.5298948,4.693234,8.533533,-0.038881004,0.07137061,-9.320789E-4,28.95,-5.0875,-18.6,walking
3006737761686077,1.6041151,4.6764746,8.461707,-0.029293908,0.052196417,-3.9946238E-4,28.9625,-5.0750003,-18.5625,walking
3006737780936077,1.6136919,4.6860514,8.425795,-0.014913263,0.04101147,0.0017310036,28.9625,-5.0625,-18.5,walking
3006737800186077,1.5705963,4.7243586,8.502409,-0.013848029,0.03994624,0.0011983871,28.9625,-5.05,-18.4625,walking
3006737819436077,1.4748282,4.705205,8.55987,-0.020772044,0.030891757,-0.0035951615,28.9625,-5.05,-18.45,walking
3006737838686077,1.4772224,4.7387238,8.617331,-0.025032977,0.03675054,-0.0067908606,28.9625,-5.0375,-18.4125,walking
3006737857936077,1.4628572,4.717176,8.641273,-0.01065233,0.049000718,-0.0025299285,28.987501,-5.0375,-18.375,walking
3006737877186077,1.4891934,4.6740804,8.5886,0.002130466,0.037815772,-0.00838871,29.0125,-5.05,-18.375,walking
3006737896436077,1.5059528,4.666898,8.5622635,-0.01065233,0.028228676,-0.01904104,29.0125,-5.0375,-18.4125,walking
3006737915686077,1.5107412,4.693234,8.569447,-0.030891757,0.036217924,-0.048867565,29.0,-5.0375,-18.425001,walking
3006737934936077,1.4772224,4.6980224,8.626907,-0.046337638,0.020772044,-0.09307474,29.0125,-5.025,-18.4125,walking
3006737954186077,1.4772224,4.7004166,8.602965,-0.07030538,0.012782796,-0.081889786,29.0125,-5.0125003,-18.3875,walking
3006737973436077,1.5035586,4.6740804,8.504803,-0.08841434,0.016511112,-0.015845342,29.0125,-5.025,-18.362501,walking
3006737992686077,1.5682021,4.666898,8.488044,-0.08681649,0.040478855,0.037948925,29.0125,-5.05,-18.3375,walking
3006738011936077,1.5658079,4.6884456,8.471284,-0.069772765,0.07030538,0.0629819,29.0,-5.025,-18.300001,walking
3006738031186077,1.4077905,4.76506,8.456919,-0.06231613,0.0516638,0.054992653,28.975,-4.9875,-18.275,walking
3006738050436077,1.2324153,4.777031,8.500014,-0.05912043,0.019706812,0.024100898,28.975,-4.9500003,-18.1875,walking
3006738069686077,1.2108675,4.7219644,8.581417,-0.03195699,0.0026630824,-0.0035951615,28.975,-4.9375,-18.0875,walking
3006738088936077,1.2755109,4.59986,8.665215,0.020772044,0.012782796,-0.021171506,28.95,-4.925,-18.0375,walking
3006738108186077,1.3790601,4.4873323,8.710705,0.083088174,0.0117175635,-0.035019536,28.925001,-4.9125,-18.0125,walking
3006738127436077,1.4891934,4.4873323,8.768166,0.11504517,-0.008521864,-0.046737097,28.9375,-4.9,-18.025,walking
3006738146686077,1.5251064,4.50888,8.8567505,0.09214266,-0.011184947,-0.050998032,28.95,-4.875,-18.0375,walking
3006738165936077,1.5131354,4.549582,8.887876,0.033022225,0.011184947,-0.05419373,28.95,-4.875,-18.1,walking
3006738185186077,1.5035586,4.6261964,8.909423,-0.023435127,0.0015978495,-0.0435414,28.9625,-4.875,-18.075,walking
3006738204436077,1.496376,4.6381674,8.751406,-0.06710968,-0.028761292,-0.030225987,28.975,-4.8625,-18.050001,walking
3006738223686077,1.4556746,4.6046486,8.492832,-0.07403369,-0.04420717,-0.023834588,28.987501,-4.85,-18.0375,walking
3006738242936077,1.4197617,4.5902834,8.319851,-0.042076703,-0.06551183,-0.021704122,29.0125,-4.85,-18.025,walking
3006738262186077,1.299453,4.6046486,8.334216,-0.019706812,-0.06870753,-0.011051793,29.025,-4.8375,-18.0125,walking
3006738281436077,1.2348095,4.6261964,8.435371,-0.030359142,-0.038881004,-0.0030625449,29.0,-4.8,-17.9625,walking
3006738300686077,1.2635399,4.6764746,8.634089,-0.047935486,-0.031424373,0.0059919357,28.975,-4.775,-17.9625,walking
3006738319936077,1.3066356,4.6764746,8.749012,-0.07350108,-0.036217924,0.0145138,28.95,-4.75,-17.9625,walking
3006738339186077,1.3694834,4.64535,8.658031,-0.08894696,-0.03515269,0.0118507175,28.9375,-4.7125,-17.975,walking
3006738358436077,1.4341269,4.6405616,8.54311,-0.070838,-0.029826526,-9.320789E-4,28.9125,-4.7125,-18.0875,walking
3006738377686077,1.4077905,4.6381674,8.507197,-0.026630826,-0.04740287,-0.013714875,28.9,-4.675,-18.1625,walking
3006738396936077,1.3694834,4.6166196,8.519168,0.029826526,-0.044739787,-0.024367206,28.9,-4.65,-18.2625,walking
3006738416186077,1.4221559,4.5783124,8.567052,0.08149032,-0.025565593,-0.033954304,28.9,-4.625,-18.325,walking
3006738435436077,1.4891934,4.561553,8.729858,0.113979936,0.009587097,-0.033954304,28.8875,-4.5875,-18.362501,walking
3006738454686077,1.4796166,4.520851,8.851962,0.11824086,0.0516638,-0.02969337,28.875,-4.5625,-18.3875,walking
3006738473936077,1.4700398,4.5232453,8.923788,0.11131685,0.07137061,-0.03129122,28.85,-4.55,-18.4,walking
3006738493186077,1.5107412,4.540005,8.839992,0.104392834,0.05059857,-0.03555215,28.825,-4.5625,-18.425001,walking
3006738512436077,1.5131354,4.575918,8.7370405,0.098534055,0.026098209,-0.046737097,28.7875,-4.5750003,-18.375,walking
3006738531686077,1.5059528,4.6046486,8.626907,0.090544805,0.017576344,-0.06484606,28.775,-4.5750003,-18.362501,walking
3006738550936077,1.4700398,4.585495,8.602965,0.08415341,0.023435127,-0.07336792,28.737501,-4.5750003,-18.300001,walking
3006738570186077,1.3958195,4.559159,8.602965,0.08149032,0.029293908,-0.06378083,28.725,-4.5750003,-18.2875,walking
3006738589436077,1.4389153,4.6046486,8.5862055,0.07829463,0.045272402,-0.047269717,28.737501,-4.6,-18.325,walking
3006738608686077,1.4987702,4.683657,8.555081,0.08095771,0.058587816,-0.03129122,28.75,-4.6125,-18.325,walking
3006738627936077,1.4389153,4.7147818,8.5383215,0.07882725,0.052196417,-0.021704122,28.800001,-4.6125,-18.2875,walking
3006738647186077,1.3210008,4.71957,8.516774,0.06338137,0.030891757,-0.017443191,28.8375,-4.625,-18.225,walking
3006738666436077,1.2970588,4.76506,8.504803,0.042076703,0.026630826,-0.009453943,28.875,-4.6375003,-18.1625,walking
3006738685686077,1.287482,4.827309,8.535928,0.03355484,0.03195699,-0.0030625449,28.9125,-4.6375003,-18.1,walking
3006738704936077,1.2539631,4.8225207,8.531139,0.029826526,0.027163442,-0.020106273,28.95,-4.65,-18.0875,walking
3006738724186077,1.2419921,4.7961845,8.480861,0.02290251,0.019174194,-0.04833495,29.0,-4.6875,-18.0,walking
3006738743436077,1.2659341,4.7866077,8.459313,0.02290251,0.017043728,-0.067509145,29.0625,-4.7000003,-17.925001,walking
3006738762686077,1.3257892,4.8105497,8.480861,0.025032977,0.020239428,-0.039813083,29.1,-4.75,-17.9,walking
3006738781936077,1.4317327,4.8201265,8.473679,0.020772044,0.041544087,0.011318101,29.112501,-4.775,-17.85,walking
3006738801186077,1.4460979,4.83928,8.4664955,0.019174194,0.045272402,0.04806864,29.125,-4.7875,-17.800001,walking
3006738820436077,1.3521254,4.896741,8.4904375,0.012782796,0.038881004,0.053394806,29.15,-4.7875,-17.775,walking
3006738839686077,1.1629834,4.944625,8.492832,-5.326165E-4,0.028228676,0.033687994,29.1875,-4.8,-17.75,walking
3006738858936077,1.0648212,4.95899,8.5143795,-0.001065233,0.022369893,6.657706E-4,29.237501,-4.8,-17.6625,walking
3006738878186077,1.0528502,4.872799,8.5383215,0.025032977,0.024500359,-0.033954304,29.25,-4.7875,-17.65,walking
3006738897436077,1.1534066,4.7243586,8.5143795,0.070838,0.03515269,-0.062182978,29.225,-4.775,-17.5875,walking
3006738916686077,1.3186066,4.647744,8.509591,0.1161104,0.04420717,-0.066976525,29.2125,-4.7625003,-17.45,walking
3006738935936077,1.4867992,4.671686,8.576629,0.1320889,0.045272402,-0.07336792,29.225,-4.775,-17.4125,walking
3006738955186077,1.541866,4.7099934,8.67958,0.11717563,0.029293908,-0.08508549,29.25,-4.7875,-17.425001,walking
3006738974436077,1.4867992,4.741118,8.744224,0.09161004,0.0117175635,-0.082422405,29.275,-4.7875,-17.4125,walking
3006738993686077,1.3569138,4.7746367,8.715493,0.08149032,0.006391398,-0.06378083,29.275,-4.8250003,-17.4,walking
3006739012936077,1.2850877,4.8201265,8.600571,0.08681649,0.002130466,-0.044074018,29.25,-4.85,-17.4375,walking
3006739032186077,1.2204443,4.8584337,8.461707,0.09214266,0.012250179,-0.014780108,29.275,-4.85,-17.4,walking
3006739051436077,1.1414356,4.9518075,8.39886,0.08202294,0.001065233,0.02356828,29.325,-4.85,-17.375,walking
3006739070686077,1.0791864,5.059547,8.428188,0.053261653,-0.034620073,0.036883693,29.362501,-4.8625,-17.4125,walking
3006739089936077,1.0336965,5.107431,8.415619,0.018108962,-0.03675054,0.034753226,29.4125,-4.85,-17.4,walking
3006739109186077,0.97144735,5.1050367,8.437765,-0.009587097,-0.040478855,0.018774733,29.4375,-4.85,-17.300001,walking
3006739128436077,0.96187055,5.0882773,8.437765,-0.04740287,-0.046870254,1.3315413E-4,29.45,-4.8625,-17.25,walking
3006739147686077,1.0600328,5.016451,8.336611,-0.09001219,-0.027696058,-0.015845342,29.475,-4.8625,-17.225,walking
3006739166936077,1.1941081,5.0116625,8.288726,-0.11557778,0.0047935485,-0.025432438,29.550001,-4.85,-17.175001,walking
3006739186186077,1.3042414,4.9996915,8.257602,-0.12356703,0.009054481,-0.021704122,29.575,-4.8625,-17.2,walking
3006739205436077,1.3790601,4.992509,8.214506,-0.11717563,-0.0117175635,-0.0035951615,29.6,-4.9,-17.25,walking
3006739224686077,1.3862427,4.944625,8.200141,-0.0969362,-0.031424373,0.0059919357,29.612501,-4.925,-17.2625,walking
3006739243936077,1.2802993,4.9135003,8.286332,-0.08255556,-0.0580552,0.009187635,29.5875,-4.9625,-17.225,walking
3006739263186077,1.1510124,4.9039235,8.394072,-0.08894696,-0.0580552,0.0054593193,29.5875,-4.975,-17.25,walking
3006739282436077,1.09834,4.982932,8.535928,-0.08681649,-0.046870254,0.009187635,29.5875,-4.9875,-17.25,walking
3006739301686077,1.134253,5.00448,8.610147,-0.08149032,-0.045272402,0.01611165,29.575,-5.0,-17.237501,walking
3006739320936077,1.1965023,4.956596,8.557475,-0.083620794,-0.03355484,0.013981183,29.525,-5.0,-17.225,walking
3006739340186077,1.2467805,4.923077,8.476072,-0.08628388,-0.018641578,0.009187635,29.4625,-4.9875,-17.2,walking
3006739359436077,1.2491747,4.9039235,8.511986,-0.07829463,-0.005326165,0.010785485,29.425001,-4.975,-17.2,walking
3006739378686077,1.2204443,4.848857,8.526351,-0.06497922,0.006391398,0.0118507175,29.375,-4.9500003,-17.2125,walking
3006739397936077,1.2419921,4.812944,8.507197,-0.038348388,0.009587097,0.009187635,29.362501,-4.9,-17.2875,walking
3006739417186077,1.2755109,4.803367,8.500014,-0.012250179,-0.001065233,0.008122402,29.325,-4.875,-17.300001,walking
3006739436436077,1.2898762,4.8057613,8.557475,-0.0026630824,-0.006391398,0.0038614697,29.275,-4.8375,-17.362501,walking
3006739455686077,1.2898762,4.800973,8.607754,-0.0069240145,-0.003195699,-9.320789E-4,29.225,-4.8125,-17.4125,walking
3006739474936077,1.2946646,4.7961845,8.677185,-0.015445879,0.029293908,-0.010519176,29.2,-4.8,-17.475,walking
3006739494186077,1.2755109,4.76506,8.686762,-0.014380646,0.03515269,-0.014780108,29.2125,-4.775,-17.5375,walking
3006739513436077,1.3018472,4.753089,8.629301,-0.007989247,0.019174194,-0.012649642,29.1875,-4.75,-17.5625,walking
3006739532686077,1.3329718,4.731541,8.504803,5.326165E-4,0.004260932,-0.009453943,29.2,-4.7375,-17.550001,walking
3006739551936077,1.3521254,4.753089,8.485649,0.014913263,0.0058587817,-0.0057256273,29.1875,-4.7125,-17.475,walking
3006739571186077,1.299453,4.7698483,8.547898,0.027696058,0.023967743,-0.0030625449,29.1875,-4.675,-17.475,walking
3006739590436077,1.2491747,4.7842135,8.617331,0.022369893,0.033022225,0.0011983871,29.2,-4.65,-17.475,walking
3006739609686077,1.2156559,4.803367,8.631696,0.003195699,0.026630826,0.0027962367,29.225,-4.6375003,-17.4625,walking
3006739628936077,1.2204443,4.8177323,8.612542,-0.004260932,0.015445879,-0.0030625449,29.225,-4.625,-17.45,walking
3006739648186077,1.2491747,4.7961845,8.57184,0.0015978495,0.002130466,-0.008921326,29.225,-4.6,-17.425001,walking
3006739667436077,1.2515689,4.7698483,8.516774,0.012250179,0.002130466,-0.007323477,29.225,-4.5625,-17.3875,walking
3006739686686077,1.2324153,4.7626657,8.511986,0.02290251,-0.012250179,-0.0067908606,29.2125,-4.5375,-17.4125,walking
3006739705936077,1.2491747,4.753089,8.555081,0.020239428,-0.002130466,-0.005193011,29.2125,-4.5375,-17.475,walking
3006739725186077,1.2635399,4.7866077,8.583812,-0.008521864,0.023967743,-0.009453943,29.2125,-4.55,-17.5125,walking
3006739744436077,1.2611457,4.824915,8.624513,-0.03994624,0.014913263,-0.005193011,29.2125,-4.5375,-17.525,walking
3006739763686077,1.2300211,4.8201265,8.595782,-0.039413624,-0.007989247,0.010252868,29.225,-4.5375,-17.5,walking
3006739782936077,1.2539631,4.7842135,8.488044,-0.013315413,-0.016511112,0.025698747,29.225,-4.5375,-17.4375,walking
3006739802186077,1.2707225,4.7602715,8.391677,0.0037283157,-0.016511112,0.02356828,29.225,-4.55,-17.4125,walking
3006739821436077,1.1988965,4.7961845,8.4425535,-0.006391398,0.0047935485,0.007057169,29.225,-4.55,-17.4,walking
3006739840686077,1.1246762,4.83928,8.602965,-0.02290251,0.019706812,-0.006258244,29.225,-4.55,-17.362501,walking
3006739859936077,1.1318588,4.8416743,8.689157,-0.030359142,0.04580502,-0.018508423,29.225,-4.525,-17.300001,walking
3006739879186077,1.2443863,4.7961845,8.598177,-0.023967743,0.0516638,-0.021704122,29.225,-4.5375,-17.237501,walking
