phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.013725491,441115838,190.0,1520.0
MOVE,0,1.0,0.013725491,441115861,190.0,1501.831
MOVE,0,1.0,0.011764707,441115869,190.0,1486.1904
MOVE,0,1.0,0.013725491,441115877,189.26855,1453.9492
MOVE,0,1.0,0.013725491,441115886,186.13477,1406.0312
MOVE,0,1.0,0.013725491,441115894,177.90723,1342.7666
MOVE,0,1.0,0.011764707,441115902,161.59668,1267.2725
MOVE,0,1.0,0.013725491,441115911,108.54883,1049.2373
MOVE,0,1.0,0.013725491,441115913,89.0,969.0
UP,0,1.0,0.013725491,441115921,89.0,969.0
DOWN,0,1.0,0.011764707,441116538,174.0,1451.0
MOVE,0,1.0,0.013725491,441116552,174.0,1451.0
MOVE,0,1.0,0.013725491,441116561,174.0,1451.0
MOVE,0,1.0,0.013725491,441116569,174.0,1451.0
MOVE,0,1.0,0.013725491,441116577,176.4668,1445.333
MOVE,0,1.0,0.013725491,441116586,177.73535,1441.794
MOVE,0,1.0,0.011764707,441116594,178.72754,1437.3604
MOVE,0,1.0,0.013725491,441116602,180.4502,1427.3008
MOVE,0,1.0,0.013725491,441116611,181.7168,1411.8145
MOVE,0,1.0,0.013725491,441116619,182.0,1396.2129
MOVE,0,1.0,0.015686275,441116627,182.0,1383.2686
MOVE,0,1.0,0.013725491,441116636,180.54199,1372.7109
MOVE,0,1.0,0.013725491,441116644,179.27051,1364.1602
MOVE,0,1.0,0.013725491,441116652,177.53125,1357.5938
MOVE,0,1.0,0.013725491,441116661,176.2666,1353.0664
MOVE,0,1.0,0.013725491,441116669,175.30762,1349.2285
MOVE,0,1.0,0.013725491,441116677,175.0,1347.2891
MOVE,0,1.0,0.013725491,441116686,175.0,1345.5342
MOVE,0,1.0,0.013725491,441116694,174.27148,1344.2715
MOVE,0,1.0,0.013725491,441116702,174.0,1342.5488
MOVE,0,1.0,0.013725491,441116711,174.0,1341.2715
MOVE,0,1.0,0.013725491,441116719,174.0,1340.2832
MOVE,0,1.0,0.013725491,441116727,174.0,1339.2754
MOVE,0,1.0,0.013725491,441116736,174.0,1338.2725
MOVE,0,1.0,0.013725491,441116744,174.0,1337.2734
MOVE,0,1.0,0.013725491,441116752,174.0,1336.2666
MOVE,0,1.0,0.013725491,441116761,173.28027,1335.2803
MOVE,0,1.0,0.013725491,441116769,173.0,1334.2764
MOVE,0,1.0,0.013725491,441116777,173.0,1333.2812
MOVE,0,1.0,0.013725491,441116786,173.0,1332.2773
MOVE,0,1.0,0.013725491,441116794,173.0,1332.0
MOVE,0,1.0,0.013725491,441116802,173.0,1332.0
MOVE,0,1.0,0.013725491,441116811,173.0,1332.0
MOVE,0,1.0,0.013725491,441116819,173.0,1332.0
MOVE,0,1.0,0.013725491,441116827,173.0,1332.0
MOVE,0,1.0,0.013725491,441116836,173.0,1332.0
MOVE,0,1.0,0.013725491,441116844,173.0,1332.0
MOVE,0,1.0,0.013725491,441116852,173.0,1332.0
MOVE,0,1.0,0.013725491,441116861,172.26758,1327.8037
MOVE,0,1.0,0.013725491,441116869,170.53906,1324.8086
MOVE,0,1.0,0.013725491,441116871,170.0,1324.0
UP,0,1.0,0.013725491,441116880,170.0,1324.0
DOWN,0,1.0,0.011764707,441117764,170.0,1559.0
MOVE,0,1.0,0.011764707,441117777,177.8164,1520.9014
MOVE,0,1.0,0.013725491,441117786,186.31543,1427.0986
MOVE,0,1.0,0.015686275,441117794,176.00781,1312.5449
MOVE,0,1.0,0.015686275,441117802,142.96387,1213.832
MOVE,0,1.0,0.011764707,441117811,44.182617,948.04395
MOVE,0,1.0,0.011764707,441117813,8.0,850.0
UP,0,1.0,0.011764707,441117822,8.0,850.0
DOWN,0,1.0,0.011764707,441118612,148.0,1080.0
MOVE,0,1.0,0.015686275,441118627,150.53906,1085.3086
MOVE,0,1.0,0.015686275,441118636,157.36328,1097.9385
MOVE,0,1.0,0.013725491,441118644,167.72949,1117.7012
MOVE,0,1.0,0.015686275,441118652,174.25781,1132.2246
MOVE,0,1.0,0.015686275,441118661,179.5498,1145.2285
MOVE,0,1.0,0.015686275,441118669,184.61328,1159.1172
MOVE,0,1.0,0.015686275,441118677,188.1416,1171.5674
MOVE,0,1.0,0.013725491,441118686,191.12988,1182.8115
MOVE,0,1.0,0.015686275,441118694,193.41211,1193.0625
MOVE,0,1.0,0.015686275,441118702,195.41699,1202.374
MOVE,0,1.0,0.015686275,441118711,197.42969,1210.7197
MOVE,0,1.0,0.015686275,441118719,199.38867,1217.165
MOVE,0,1.0,0.015686275,441118727,201.41211,1223.2373
MOVE,0,1.0,0.013725491,441118736,202.70117,1229.2041
MOVE,0,1.0,0.013725491,441118744,204.40332,1234.5088
MOVE,0,1.0,0.013725491,441118752,206.43652,1239.5908
MOVE,0,1.0,0.013725491,441118761,207.71777,1244.5879
MOVE,0,1.0,0.011764707,441118769,208.72266,1248.8906
MOVE,0,1.0,0.011764707,441118777,210.45703,1252.9141
MOVE,0,1.0,0.011764707,441118786,211.71094,1256.1328
MOVE,0,1.0,0.011764707,441118794,212.70996,1259.8418
MOVE,0,1.0,0.011764707,441118802,213.0,1262.4277
MOVE,0,1.0,0.011764707,441118811,213.0,1264.4287
MOVE,0,1.0,0.011764707,441118819,213.71191,1265.7119
MOVE,0,1.0,0.011764707,441118827,214.71484,1266.7148
MOVE,0,1.0,0.011764707,441118836,215.0,1267.7246
MOVE,0,1.0,0.011764707,441118844,215.71094,1268.7109
MOVE,0,1.0,0.011764707,441118852,216.0,1270.4473
MOVE,0,1.0,0.011764707,441118861,217.44238,1273.8838
MOVE,0,1.0,0.011764707,441118869,219.35645,1277.0342
MOVE,0,1.0,0.01764706,441118877,221.39355,1279.3936
MOVE,0,1.0,0.01764706,441118880,222.0,1280.0
UP,0,1.0,0.01764706,441118888,222.0,1280.0
DOWN,0,1.0,0.011764707,441119064,137.0,1072.0
MOVE,0,1.0,0.015686275,441119077,152.50879,1094.2783
MOVE,0,1.0,0.015686275,441119085,178.2461,1141.3984
MOVE,0,1.0,0.015686275,441119094,207.35449,1208.5342
MOVE,0,1.0,0.015686275,441119102,231.54688,1290.7754
MOVE,0,1.0,0.013725491,441119110,247.94922,1379.9609
MOVE,0,1.0,0.015686275,441119119,286.16895,1630.2344
MOVE,0,1.0,0.015686275,441119121,300.0,1721.0
UP,0,1.0,0.015686275,441119130,300.0,1721.0
DOWN,0,1.0,0.009803922,441119445,174.0,1545.0
MOVE,0,1.0,0.013725491,441119460,185.0039,1502.7842
MOVE,0,1.0,0.009803922,441119469,200.96289,1396.0996
MOVE,0,1.0,0.011764707,441119477,191.09961,1267.0986
MOVE,0,1.0,0.013725491,441119485,154.09473,1165.4893
MOVE,0,1.0,0.011764707,441119494,44.401367,904.2012
MOVE,0,1.0,0.011764707,441119496,8.0,817.0
UP,0,1.0,0.011764707,441119504,8.0,817.0
DOWN,0,1.0,0.011764707,441119843,137.0,1045.0
MOVE,0,1.0,0.013725491,441119852,145.12012,1054.5322
MOVE,0,1.0,0.015686275,441119860,160.90039,1074.6133
MOVE,0,1.0,0.015686275,441119869,183.94434,1110.5342
MOVE,0,1.0,0.01764706,441119877,209.19629,1160.5762
MOVE,0,1.0,0.015686275,441119885,231.66406,1222.7041
MOVE,0,1.0,0.013725491,441119894,249.54395,1299.7207
MOVE,0,1.0,0.011764707,441119902,260.2744,1381.2607
MOVE,0,1.0,0.009803922,441119910,284.78223,1616.3916
MOVE,0,1.0,0.009803922,441119913,294.0,1705.0
UP,0,1.0,0.009803922,441119921,294.0,1705.0
DOWN,0,1.0,0.011764707,441120313,116.0,1019.0
MOVE,0,1.0,0.01764706,441120327,134.49023,1047.3008
MOVE,0,1.0,0.015686275,441120335,158.92578,1089.6465
MOVE,0,1.0,0.015686275,441120344,184.11914,1145.3711
MOVE,0,1.0,0.01764706,441120352,204.60547,1212.124
MOVE,0,1.0,0.01764706,441120360,218.60449,1292.2305
MOVE,0,1.0,0.011764707,441120369,252.16797,1527.8906
MOVE,0,1.0,0.011764707,441120371,264.0,1611.0
UP,0,1.0,0.011764707,441120379,264.0,1611.0
DOWN,0,1.0,0.011764707,441121371,181.0,1008.0
MOVE,0,1.0,0.015686275,441121385,190.36914,1025.5342
MOVE,0,1.0,0.015686275,441121394,211.43066,1077.293
MOVE,0,1.0,0.015686275,441121402,232.48535,1153.7881
MOVE,0,1.0,0.013725491,441121410,245.2002,1232.6748
MOVE,0,1.0,0.013725491,441121419,249.69336,1323.3975
MOVE,0,1.0,0.01764706,441121427,252.82324,1574.0137
MOVE,0,1.0,0.01764706,441121429,254.0,1667.0
UP,0,1.0,0.01764706,441121438,254.0,1667.0
DOWN,0,1.0,0.011764707,441122037,154.0,1496.0
MOVE,0,1.0,0.013725491,441122060,162.81055,1478.6484
MOVE,0,1.0,0.013725491,441122069,169.4502,1467.3711
MOVE,0,1.0,0.011764707,441122077,177.6543,1450.9844
MOVE,0,1.0,0.013725491,441122085,185.39062,1432.5244
MOVE,0,1.0,0.009803922,441122094,194.28027,1410.6494
MOVE,0,1.0,0.011764707,441122102,200.4082,1387.6396
MOVE,0,1.0,0.009803922,441122110,204.78125,1361.9248
MOVE,0,1.0,0.011764707,441122119,208.1377,1336.9004
MOVE,0,1.0,0.011764707,441122127,209.0,1313.5967
MOVE,0,1.0,0.009803922,441122135,208.29297,1292.1602
MOVE,0,1.0,0.011764707,441122144,206.60059,1272.0098
MOVE,0,1.0,0.011764707,441122152,204.58691,1253.2822
MOVE,0,1.0,0.015686275,441122160,203.28613,1235.8701
MOVE,0,1.0,0.011764707,441122169,202.28223,1221.668
MOVE,0,1.0,0.011764707,441122177,202.0,1209.3525
MOVE,0,1.0,0.011764707,441122185,202.0,1200.4395
MOVE,0,1.0,0.013725491,441122194,202.0,1194.6699
MOVE,0,1.0,0.013725491,441122202,202.0,1192.3057
MOVE,0,1.0,0.013725491,441122210,202.0,1191.2861
MOVE,0,1.0,0.013725491,441122219,202.0,1190.2832
MOVE,0,1.0,0.013725491,441122227,201.30371,1189.3037
MOVE,0,1.0,0.013725491,441122235,201.0,1188.2998
MOVE,0,1.0,0.013725491,441122244,201.0,1187.2871
MOVE,0,1.0,0.013725491,441122252,201.0,1187.0
MOVE,0,1.0,0.013725491,441122260,201.0,1187.0
MOVE,0,1.0,0.013725491,441122269,201.0,1187.0
MOVE,0,1.0,0.013725491,441122277,201.0,1187.0
MOVE,0,1.0,0.013725491,441122285,201.0,1187.0
MOVE,0,1.0,0.013725491,441122294,201.0,1187.0
MOVE,0,1.0,0.013725491,441122302,201.0,1187.0
MOVE,0,1.0,0.013725491,441122310,202.72266,1186.2773
MOVE,0,1.0,0.013725491,441122319,203.71387,1186.0
MOVE,0,1.0,0.013725491,441122327,204.0,1186.0
MOVE,0,1.0,0.013725491,441122335,204.0,1186.0
MOVE,0,1.0,0.013725491,441122344,205.0,1185.2734
MOVE,0,1.0,0.013725491,441122352,205.71191,1185.0
MOVE,0,1.0,0.013725491,441122360,206.70703,1183.5859
MOVE,0,1.0,0.013725491,441122369,207.0,1182.2764
MOVE,0,1.0,0.013725491,441122377,207.72363,1180.5527
MOVE,0,1.0,0.013725491,441122385,208.71582,1177.8516
MOVE,0,1.0,0.013725491,441122394,211.13574,1173.4404
MOVE,0,1.0,0.01764706,441122402,212.0,1168.4346
MOVE,0,1.0,0.013725491,441122410,210.5752,1159.8779
MOVE,0,1.0,0.011764707,441122419,205.72656,1144.1807
MOVE,0,1.0,0.013725491,441122427,194.16797,1118.6338
MOVE,0,1.0,0.013725491,441122435,174.06934,1080.3115
MOVE,0,1.0,0.015686275,441122444,147.61914,1031.8789
MOVE,0,1.0,0.015686275,441122452,114.143555,976.3428
MOVE,0,1.0,0.013725491,441122460,73.72656,913.86914
MOVE,0,1.0,0.009803922,441122469,23.422852,829.5625
MOVE,0,1.0,0.009803922,441122471,8.0,803.0
UP,0,1.0,0.009803922,441122479,8.0,803.0
DOWN,0,1.0,0.011764707,441122697,164.0,1055.0
MOVE,0,1.0,0.013725491,441122710,164.0,1055.0
MOVE,0,1.0,0.013725491,441122719,164.0,1055.0
MOVE,0,1.0,0.013725491,441122727,164.0,1055.0
MOVE,0,1.0,0.013725491,441122735,164.0,1055.0
MOVE,0,1.0,0.013725491,441122744,164.0,1055.0
MOVE,0,1.0,0.013725491,441122752,164.0,1055.0
MOVE,0,1.0,0.013725491,441122760,164.0,1055.0
MOVE,0,1.0,0.013725491,441122769,164.0,1055.0
MOVE,0,1.0,0.013725491,441122777,164.0,1055.0
MOVE,0,1.0,0.013725491,441122785,164.0,1055.0
MOVE,0,1.0,0.013725491,441122794,164.0,1055.0
MOVE,0,1.0,0.013725491,441122802,164.0,1055.0
MOVE,0,1.0,0.013725491,441122810,164.0,1055.0
MOVE,0,1.0,0.013725491,441122819,164.0,1055.0
MOVE,0,1.0,0.013725491,441122827,164.0,1055.0
MOVE,0,1.0,0.013725491,441122835,164.0,1055.0
MOVE,0,1.0,0.013725491,441122844,164.0,1055.0
MOVE,0,1.0,0.013725491,441122852,164.0,1055.0
MOVE,0,1.0,0.013725491,441122860,164.0,1055.0
MOVE,0,1.0,0.013725491,441122869,164.0,1055.0
MOVE,0,1.0,0.013725491,441122877,164.0,1055.0
MOVE,0,1.0,0.013725491,441122885,164.0,1055.0
MOVE,0,1.0,0.013725491,441122894,164.0,1055.0
MOVE,0,1.0,0.013725491,441122902,164.0,1055.0
MOVE,0,1.0,0.013725491,441122910,164.0,1055.0
MOVE,0,1.0,0.013725491,441122919,166.16309,1059.6055
MOVE,0,1.0,0.013725491,441122927,168.44824,1066.0693
MOVE,0,1.0,0.01764706,441122935,171.16113,1077.3643
MOVE,0,1.0,0.015686275,441122944,176.15723,1096.2432
MOVE,0,1.0,0.013725491,441122952,183.73438,1125.9395
MOVE,0,1.0,0.013725491,441122960,191.84863,1167.1699
MOVE,0,1.0,0.011764707,441122969,199.09277,1218.2881
MOVE,0,1.0,0.009803922,441122977,202.4375,1275.4023
MOVE,0,1.0,0.013725491,441122985,207.99316,1439.665
MOVE,0,1.0,0.013725491,441122988,210.0,1499.0
UP,0,1.0,0.013725491,441122996,210.0,1499.0
DOWN,0,1.0,0.011764707,441127116,216.0,1359.0
MOVE,0,1.0,0.009803922,441127127,215.0,1354.4482
MOVE,0,1.0,0.009803922,441127135,214.28906,1346.6006
MOVE,0,1.0,0.009803922,441127144,214.0,1340.4434
MOVE,0,1.0,0.011764707,441127152,213.29004,1336.8711
MOVE,0,1.0,0.011764707,441127160,213.0,1326.2314
MOVE,0,1.0,0.009803922,441127169,213.0,1304.9502
MOVE,0,1.0,0.011764707,441127177,212.29883,1272.0537
MOVE,0,1.0,0.011764707,441127185,209.89453,1231.5195
MOVE,0,1.0,0.009803922,441127194,204.73047,1197.6523
MOVE,0,1.0,0.013725491,441127202,200.87402,1170.5732
MOVE,0,1.0,0.011764707,441127210,195.75684,1144.6113
MOVE,0,1.0,0.013725491,441127219,187.65137,1119.3652
MOVE,0,1.0,0.015686275,441127227,179.31738,1094.2402
MOVE,0,1.0,0.013725491,441127235,171.0166,1070.3799
MOVE,0,1.0,0.011764707,441127244,162.42773,1046.6758
MOVE,0,1.0,0.013725491,441127252,153.5293,1026.3408
MOVE,0,1.0,0.011764707,441127260,146.67871,1008.03516
MOVE,0,1.0,0.011764707,441127269,141.41211,989.3662
MOVE,0,1.0,0.015686275,441127277,135.68848,973.9404
MOVE,0,1.0,0.015686275,441127285,131.85742,961.4287
MOVE,0,1.0,0.011764707,441127294,128.20801,950.3213
MOVE,0,1.0,0.013725491,441127302,124.87988,942.0537
MOVE,0,1.0,0.013725491,441127310,123.28516,935.7129
MOVE,0,1.0,0.013725491,441127319,123.0,930.5547
MOVE,0,1.0,0.011764707,441127327,122.28223,926.84766
MOVE,0,1.0,0.011764707,441127335,121.2793,923.1172
MOVE,0,1.0,0.011764707,441127344,120.27832,919.1123
MOVE,0,1.0,0.015686275,441127352,118.54883,915.09766
MOVE,0,1.0,0.015686275,441127360,116.56543,910.41504
MOVE,0,1.0,0.015686275,441127369,113.83496,905.3916
MOVE,0,1.0,0.015686275,441127377,110.09473,901.0947
MOVE,0,1.0,0.015686275,441127385,106.90332,896.50684
MOVE,0,1.0,0.011764707,441127394,104.583984,892.16797
MOVE,0,1.0,0.011764707,441127402,102.56445,887.41113
MOVE,0,1.0,0.011764707,441127410,101.274414,883.0957
MOVE,0,1.0,0.011764707,441127419,99.53613,879.0713
