answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q2_choice_B,0,DOWN,0.007843138,0.019607844,40059088,124.319,44.386597
mc_q3_choice_B,0,DOWN,0.007843138,0.019607844,40061077,130.3107,16.535828
mc_q2_choice_B,0,DOWN,0.011764707,0.019607844,40061713,154.2774,3.740326
mc_q2_choice_B,0,DOWN,0.011764707,0.019607844,40063719,64.40222,93.69757
mc_q1_choice_B,0,DOWN,0.007843138,0.019607844,40069001,169.25659,82.63446
mc_q1_choice_D,0,DOWN,0.007843138,0.019607844,40069720,138.29959,8.618042
mc_q1_choice_D,0,DOWN,0.007843138,0.019607844,40070623,154.2774,64.723206
mc_q1_choice_D,67,UP,0.007843138,0.019607844,40070690,154.2774,64.723206
mc_q1_choice_C,0,DOWN,0.011764707,0.019607844,40071158,220.61026,66.72189
mc_q1_choice_C,84,UP,0.007843138,0.019607844,40071242,220.61026,66.72189
mc_q1_choice_D,0,DOWN,0.007843138,0.019607844,40073415,123.320404,51.73175
mc_q1_choice_D,67,UP,0.007843138,0.019607844,40073482,123.320404,51.73175
mc_q1_choice_C,0,DOWN,0.007843138,0.019607844,40073866,200.638,59.7265
mc_q1_choice_C,51,UP,0.007843138,0.019607844,40073917,200.638,59.7265
mc_q1_choice_D,0,DOWN,0.011764707,0.019607844,40077795,109.33981,43.73703
mc_q1_choice_D,101,UP,0.007843138,0.019607844,40077896,109.33981,43.73703
mc_q1_choice_C,0,DOWN,0.011764707,0.019607844,40079416,211.62274,48.733734
mc_q1_choice_C,68,UP,0.015686275,0.019607844,40079484,211.62274,48.733734
mc_q2_choice_D,0,DOWN,0.011764707,0.019607844,40079968,161.2677,15.482605
mc_q2_choice_D,84,UP,0.007843138,0.019607844,40080052,161.2677,15.482605
mc_q2_choice_B,0,DOWN,0.011764707,0.019607844,40082209,198.21637,45.5365
mc_q2_choice_B,100,UP,0.007843138,0.019607844,40082309,198.21637,45.5365
mc_q2_choice_A,0,DOWN,0.011764707,0.019607844,40082844,236.58807,45.5365
mc_q2_choice_A,68,UP,0.011764707,0.019607844,40082912,236.58807,45.5365
mc_q14_choice_D,0,DOWN,0.007843138,0.019607844,40106985,94.36063,53.482605
mc_q9_choice_D,0,DOWN,0.007843138,0.019607844,40146272,123.320404,16.583862
mc_q4_choice_B,0,DOWN,0.007843138,0.019607844,40149347,228.17474,84.7081
mc_q14_choice_D,0,DOWN,0.011764707,0.019607844,40199451,157.27325,4.437256
mc_q14_choice_D,0,DOWN,0.011764707,0.019607844,40201690,121.32318,4.4694214
mc_q10_choice_D,0,DOWN,0.011764707,0.019607844,40208545,195.22052,38.70285
mc_q4_choice_D,0,DOWN,0.011764707,0.019607844,40213208,123.320404,46.57068
mc_q11_choice_D,0,DOWN,0.011764707,0.019607844,40220147,253.14008,18.621948
mc_q11_choice_B,0,DOWN,0.015686275,0.019607844,40223757,126.31622,74.47998
mc_q2_choice_B,0,DOWN,0.011764707,0.019607844,40230094,215.19281,81.362305
mc_q5_choice_D,0,DOWN,0.011764707,0.019607844,40236095,220.18585,69.278076
mc_q2_choice_B,0,DOWN,0.007843138,0.019607844,40290896,175.24829,35.392517
mc_q2_choice_B,0,DOWN,0.011764707,0.019607844,40291766,159.27045,57.495117
mc_q2_choice_B,100,UP,0.007843138,0.019607844,40291866,159.27045,57.495117
mc_q2_choice_A,0,DOWN,0.015686275,0.019607844,40292384,193.64772,69.48718
mc_q2_choice_A,85,UP,0.011764707,0.019607844,40292469,193.64772,69.48718
mc_q2_choice_B,0,DOWN,0.011764707,0.019607844,40292735,172.25244,34.510193
mc_q2_choice_B,100,UP,0.007843138,0.019607844,40292835,172.25244,34.510193
